State,Age Group,Sector,Gender,Indicator,Value
Delhi,18 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,77.8
Delhi,18 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,87
Goa,15 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,94.4
Goa,15 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,85
Goa,15 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,89.9
Goa,15 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,97.7
Goa,15 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,88.6
Goa,15 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,93.2
Goa,15 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,92.1
Goa,15 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,82.5
Goa,15 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,87.6
Goa,18 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,96.9
Goa,18 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,86.7
Goa,18 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,92
Goa,18 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,97.9
Goa,18 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,90
Goa,18 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,94
Goa,18 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,96.2
Goa,18 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,84.3
Goa,18 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,90.5
Gujarat,15 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,85.7
Gujarat,15 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,54.1
Gujarat,15 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,70.4
Gujarat,15 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,83.1
Gujarat,15 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,47
Gujarat,15 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,65.2
Gujarat,15 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,89.3
Gujarat,15 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,65.2
Gujarat,15 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,77.9
Gujarat,18 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,88.7
Gujarat,18 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,55.8
Gujarat,18 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,72.7
Gujarat,18 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,86.1
Gujarat,18 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,48.3
Gujarat,18 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,67.4
Gujarat,18 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,92.2
Gujarat,18 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,67.2
Gujarat,18 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,80.4
Haryana,15 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,84.3
Haryana,15 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,51.4
Haryana,15 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,68.7
Haryana,15 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,81.6
Haryana,15 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,44.2
Haryana,15 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,63.8
Haryana,15 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,88.8
Haryana,15 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,64.4
Haryana,15 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,77.4
Haryana,18 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,88.6
Haryana,18 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,53.7
Haryana,18 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,72
Haryana,18 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,86
Haryana,18 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,45.9
Haryana,18 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,66.8
Haryana,18 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,92.9
Haryana,18 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,67.4
Haryana,18 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,81
Himachal Pradesh,15 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,91
Himachal Pradesh,15 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,79.3
Himachal Pradesh,15 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,85.1
Himachal Pradesh,15 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,90.7
Himachal Pradesh,15 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,78.5
Himachal Pradesh,15 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,84.5
Himachal Pradesh,15 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,93.7
Himachal Pradesh,15 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,88.3
Himachal Pradesh,15 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,91.3
Himachal Pradesh,18 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,94.7
Himachal Pradesh,18 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,81.9
Himachal Pradesh,18 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,88.2
Himachal Pradesh,18 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,94.5
Himachal Pradesh,18 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,81.1
Himachal Pradesh,18 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,87.7
Himachal Pradesh,18 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,96.5
Himachal Pradesh,18 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,90.6
Himachal Pradesh,18 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,93.8
Jammu & Kashmir,15 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,85.9
Jammu & Kashmir,15 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,53.2
Jammu & Kashmir,15 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,70
Jammu & Kashmir,15 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,84.9
Jammu & Kashmir,15 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,46
Jammu & Kashmir,15 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,65.9
Jammu & Kashmir,15 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,89.2
Jammu & Kashmir,15 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,78.6
Jammu & Kashmir,15 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,84.1
Jammu & Kashmir,18 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,90.4
Jammu & Kashmir,18 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,55.1
Jammu & Kashmir,18 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,73.2
Jammu & Kashmir,18 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,89.4
Jammu & Kashmir,18 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,47.7
Jammu & Kashmir,18 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,68.9
Jammu & Kashmir,18 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,94
Jammu & Kashmir,18 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,80.1
Jammu & Kashmir,18 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,87.3
Jharkhand,15 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,80.4
Jharkhand,15 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,57.9
Jharkhand,15 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,69.2
Jharkhand,15 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,77.2
Jharkhand,15 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,53.7
Jharkhand,15 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,65.4
Jharkhand,15 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,90.8
Jharkhand,15 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,72
Jharkhand,15 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,81.6
Jharkhand,18 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,82.4
Jharkhand,18 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,58.6
Jharkhand,18 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,70.5
Jharkhand,18 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,79.2
Jharkhand,18 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,54.3
Jharkhand,18 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,66.6
Jharkhand,18 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,92.3
Jharkhand,18 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,73.1
Jharkhand,18 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,82.9
Karnataka,15 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,88.5
Karnataka,15 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,63.8
Karnataka,15 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,76.3
Karnataka,15 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,86.4
Karnataka,15 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,55.4
Karnataka,15 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,71.1
Karnataka,15 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,91.9
Karnataka,15 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,77.7
Karnataka,15 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,85
Karnataka,18 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,91.3
Karnataka,18 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,64.8
Karnataka,18 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,78.2
Karnataka,18 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,89.1
Karnataka,18 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,56.3
Karnataka,18 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,72.7
Karnataka,18 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,94.9
Karnataka,18 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,79.2
Karnataka,18 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,87.2
Kerala,15 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,92.2
Kerala,15 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,82.2
Kerala,15 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,86.9
Kerala,15 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,90.8
Kerala,15 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,80
Kerala,15 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,85.1
Kerala,15 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,93.5
Kerala,15 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,84.5
Kerala,15 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,88.7
Kerala,18 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,94
Kerala,18 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,83.4
Kerala,18 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,88.3
Kerala,18 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,93.1
Kerala,18 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,81.3
Kerala,18 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,86.8
Kerala,18 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,94.8
Kerala,18 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,85.5
Kerala,18 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,89.9
Ladakh,15 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,95.2
Ladakh,15 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,76.1
Ladakh,15 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,86
Ladakh,15 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,95.4
Ladakh,15 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,75.8
Ladakh,15 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,85.8
Ladakh,15 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,93.7
Ladakh,15 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,79.1
Ladakh,15 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,87.6
Ladakh,18 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,96.8
Ladakh,18 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,76.8
Ladakh,18 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,87.2
Ladakh,18 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,96.8
Ladakh,18 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,76.3
Ladakh,18 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,86.8
Ladakh,18 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,96.4
Ladakh,18 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,81.9
Ladakh,18 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,90.5
Lakshadweep,15 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,90.2
Lakshadweep,15 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,78.8
Lakshadweep,15 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,84.6
Lakshadweep,15 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,95.6
Lakshadweep,15 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,78
Lakshadweep,15 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,88.1
Lakshadweep,15 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,87.7
Lakshadweep,15 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,79.1
Lakshadweep,15 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,83.2
Lakshadweep,18 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,93.8
Lakshadweep,18 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,83.5
Lakshadweep,18 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,88.7
Lakshadweep,18 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,95.7
Lakshadweep,18 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,88.2
Lakshadweep,18 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,92.7
Lakshadweep,18 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,92.9
Lakshadweep,18 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,82.1
Lakshadweep,18 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,87.3
Madhya Pradesh,15 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,76.3
Madhya Pradesh,15 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,38.4
